% 1. Title: Iris Plants Database, altered with many extra attributes by John MacCormick
% 

% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 5 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5-13. mystery attributes
%    14. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE mystery1	REAL
@ATTRIBUTE mystery2	REAL
@ATTRIBUTE mystery3	REAL
@ATTRIBUTE mystery4	REAL
@ATTRIBUTE mystery5	REAL
@ATTRIBUTE mystery6	REAL
@ATTRIBUTE mystery7	REAL
@ATTRIBUTE mystery8	REAL
@ATTRIBUTE mystery9	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
5.1,3.5,1.4,0.2,5.10,3.50,1.40,0.20,5.10,3.50,1.40,0.20,5.10,Iris-setosa
4.9,3,1.4,0.2,4.90,3.00,1.40,0.20,4.90,3.00,1.40,0.20,4.90,Iris-setosa
4.7,3.2,1.3,0.2,4.70,3.20,1.30,0.20,4.70,3.20,1.30,0.20,4.70,Iris-setosa
4.6,3.1,1.5,0.2,4.60,3.10,1.50,0.20,4.60,3.10,1.50,0.20,4.60,Iris-setosa
5,3.6,1.4,0.2,5.00,3.60,1.40,0.20,5.00,3.60,1.40,0.20,5.00,Iris-setosa
5.4,3.9,1.7,0.4,5.40,3.90,1.70,0.40,5.40,3.90,1.70,0.40,5.40,Iris-setosa
4.6,3.4,1.4,0.3,4.60,3.40,1.40,0.30,4.60,3.40,1.40,0.30,4.60,Iris-setosa
5,3.4,1.5,0.2,5.00,3.40,1.50,0.20,5.00,3.40,1.50,0.20,5.00,Iris-setosa
4.4,2.9,1.4,0.2,4.40,2.90,1.40,0.20,4.40,2.90,1.40,0.20,4.40,Iris-setosa
4.9,3.1,1.5,0.1,4.90,3.10,1.50,0.10,4.90,3.10,1.50,0.10,4.90,Iris-setosa
5.4,3.7,1.5,0.2,5.40,3.70,1.50,0.20,5.40,3.70,1.50,0.20,5.40,Iris-setosa
4.8,3.4,1.6,0.2,4.80,3.40,1.60,0.20,4.80,3.40,1.60,0.20,4.80,Iris-setosa
