@RELATION pcatest

@ATTRIBUTE a1	REAL
@ATTRIBUTE a2	REAL
@ATTRIBUTE a3	REAL
@ATTRIBUTE a4	REAL
@ATTRIBUTE a5	REAL
@ATTRIBUTE class 	{A,B}

@DATA
-2.2394e-01,-3.7957e-01,-6.6279e-01,-5.6579e-01,-2.2381e-01,B
-7.1741e-01,2.1339e-01,-5.7837e-01,-9.3750e-01,1.2727e+00,B
-5.9858e-01,5.2771e-02,-5.8447e-01,-7.7942e-01,8.7069e-01,B
-7.0575e-01,1.9793e-01,-4.9899e-01,-8.3723e-01,1.1941e+00,B
-9.5785e-02,1.6221e-01,1.5153e-01,2.1213e-02,2.9669e-01,A
-7.6130e-01,-1.9922e-01,-1.0302e+00,-1.2182e+00,6.8226e-01,B
-1.1660e-01,-3.2852e-02,-1.0003e-01,-1.5002e-01,9.3247e-02,A
-7.0063e-01,-3.6787e-01,-1.1271e+00,-1.2756e+00,5.1831e-01,B
-2.2557e-01,-1.6005e-01,-4.2631e-01,-4.6149e-01,1.2013e-01,B
-4.9054e-01,-2.5944e-01,-8.4153e-01,-8.8853e-01,3.6476e-01,B
-5.4767e-01,-5.2010e-01,-1.1636e+00,-1.1769e+00,1.5133e-01,B
-5.9301e-01,3.7470e-01,-2.2399e-01,-5.9557e-01,1.3539e+00,B
7.4469e-02,3.3100e-01,4.6166e-01,4.2009e-01,3.2870e-01,A
-7.0653e-01,3.2622e-01,-3.7413e-01,-7.3728e-01,1.4201e+00,B
9.9774e-02,-8.4926e-02,-2.4084e-02,2.7582e-02,-3.3053e-01,A
-1.2741e-01,3.3127e-01,2.1551e-01,-1.4964e-04,6.4362e-01,A
-2.3983e-01,-3.2707e-01,-5.6828e-01,-5.0682e-01,-1.4342e-01,A
-1.1228e-01,2.0874e-01,1.1163e-01,-8.6857e-03,4.7762e-01,A
1.4894e-01,2.3674e-02,1.9154e-01,2.1561e-01,-1.9810e-01,A
-5.9257e-01,-3.7329e-02,-5.8763e-01,-8.2345e-01,7.5353e-01,B
-5.0337e-01,1.0574e-01,-4.2749e-01,-6.7488e-01,8.4242e-01,B
-4.8934e-01,-2.5456e-02,-5.0224e-01,-6.7234e-01,6.3771e-01,B
-4.0806e-01,2.7266e-01,-1.8624e-01,-3.9848e-01,8.4764e-01,B
-4.0939e-01,-1.8030e-01,-6.4595e-01,-7.5788e-01,3.2813e-01,A
-3.8745e-01,-3.1905e-01,-7.0738e-01,-7.1043e-01,4.6527e-02,B
-2.8900e-01,4.8997e-02,-2.6242e-01,-4.0520e-01,4.1732e-01,A
-3.6756e-01,-1.0361e-01,-5.5095e-01,-6.1615e-01,4.3351e-01,B
2.9380e-01,-8.4007e-02,2.0297e-01,3.1344e-01,-4.3460e-01,A
3.8242e-01,1.8671e-01,6.0298e-01,6.0918e-01,-2.6024e-01,A
-1.0512e+00,-1.6821e-01,-1.2924e+00,-1.6457e+00,1.2257e+00,B
-8.3773e-03,8.0145e-02,7.7793e-02,1.5967e-02,1.3784e-01,A
-5.1803e-02,1.5672e-01,1.0318e-01,-7.6294e-03,3.0812e-01,A
-1.2321e-01,2.4269e-02,-1.4442e-01,-1.6778e-01,1.9461e-01,A
-1.9186e-01,8.2718e-02,-1.6724e-01,-2.6216e-01,3.9014e-01,B
-1.4804e-01,-3.6099e-02,-1.6867e-01,-2.4912e-01,1.9531e-01,A
-5.0985e-01,4.1519e-01,-2.4457e-01,-5.5283e-01,1.3892e+00,B
2.0914e-01,-1.9036e-01,2.1666e-02,1.5814e-01,-5.8020e-01,A
-8.3891e-01,-3.7938e-01,-1.2842e+00,-1.4250e+00,6.9146e-01,B
-6.5937e-01,3.4579e-01,-3.9918e-01,-7.1780e-01,1.3817e+00,B
-9.0807e-01,2.2990e-01,-7.5712e-01,-1.2351e+00,1.6447e+00,B
-6.5555e-01,-4.7657e-01,-1.2057e+00,-1.2445e+00,3.2998e-01,B
-3.0483e-01,1.2841e-01,-2.4776e-01,-3.7450e-01,5.9049e-01,B
-1.6266e-01,3.3327e-01,1.6261e-01,-2.8583e-02,7.0504e-01,B
-2.6079e-01,2.4114e-01,-2.7312e-02,-1.6185e-01,6.2637e-01,A
-7.8433e-01,-1.6384e-01,-1.0512e+00,-1.2943e+00,9.0724e-01,B
-2.7102e-01,-1.0215e-01,-4.1150e-01,-4.5919e-01,3.3778e-01,A
-8.3716e-01,5.9527e-02,-8.9467e-01,-1.1583e+00,1.2486e+00,B
-5.2352e-01,-3.2413e-01,-9.0188e-01,-9.9327e-01,3.7085e-01,A
-8.1355e-01,1.6137e-01,-7.8777e-01,-1.1580e+00,1.4460e+00,B
-6.7827e-02,-1.7853e-01,-2.9602e-01,-3.2211e-01,-1.0838e-01,A
-2.8370e-01,1.6310e-01,-1.5225e-01,-3.1319e-01,6.1913e-01,B
-2.8038e-01,-3.8733e-01,-7.1792e-01,-6.8970e-01,-1.0591e-01,B
-2.0799e-01,2.9766e-02,-1.5322e-01,-2.6795e-01,2.8872e-01,A
-1.8678e-01,-3.3903e-02,-2.3518e-01,-3.0322e-01,2.4764e-01,A
1.6468e-01,1.1745e-01,2.6855e-01,3.0812e-01,-3.9425e-02,A
-3.3746e-01,-5.9950e-02,-4.5011e-01,-5.5758e-01,3.9451e-01,B
-1.8207e-01,-2.3648e-01,-4.3183e-01,-4.0382e-01,-5.2258e-02,B
-6.6456e-01,-3.1458e-01,-1.0276e+00,-1.1558e+00,5.0215e-01,B
-1.4853e-01,-1.5115e-01,-3.2274e-01,-3.2456e-01,6.0856e-02,A
-3.9861e-01,-2.5983e-03,-4.7564e-01,-5.7270e-01,5.8999e-01,B
-2.6891e-01,-4.8933e-02,-3.2658e-01,-4.5904e-01,3.4079e-01,A
-9.6195e-01,-2.1090e-01,-1.2948e+00,-1.5223e+00,1.0744e+00,B
-1.2575e-01,-9.9020e-02,-2.3363e-01,-2.7869e-01,5.9581e-02,A
-5.9144e-02,-8.5565e-02,-9.7599e-02,-7.9075e-02,-7.0181e-02,A
-8.7944e-02,1.2589e-01,8.4533e-02,4.9292e-02,2.1890e-01,A
-3.5534e-01,-3.0994e-01,-7.5039e-01,-7.5796e-01,8.2181e-02,B
-1.2148e-01,-1.4477e-01,-2.7598e-01,-3.0512e-01,6.4559e-03,A
-1.3254e-01,-1.8433e-01,-3.5962e-01,-3.1421e-01,-2.8308e-02,A
2.8594e-01,1.3372e-01,4.6906e-01,5.0057e-01,-1.8865e-01,A
8.7416e-02,-2.7103e-01,-1.9074e-01,-5.9232e-02,-5.3596e-01,A
-1.2372e-02,-2.8941e-01,-3.4681e-01,-2.4849e-01,-3.6849e-01,A
-7.2596e-01,-3.8899e-02,-8.2675e-01,-1.0055e+00,8.9316e-01,B
3.4500e-02,3.0095e-01,3.8612e-01,3.5817e-01,3.3575e-01,A
-3.2650e-01,-4.8563e-01,-8.9102e-01,-7.8800e-01,-2.3625e-01,B
-4.7201e-01,-2.3318e-01,-7.8735e-01,-8.7593e-01,4.6759e-01,B
-8.4979e-01,-2.1047e-01,-1.1477e+00,-1.3964e+00,9.4645e-01,B
-1.2291e-01,-4.0270e-01,-5.7397e-01,-4.6580e-01,-3.6970e-01,B
-4.8750e-01,-5.4927e-01,-1.1132e+00,-1.0682e+00,-3.3976e-03,B
-7.4578e-02,3.4909e-02,-2.0987e-02,-5.3290e-02,1.1689e-01,A
-4.0973e-01,6.6092e-01,2.7419e-01,-8.9504e-02,1.3764e+00,A
-8.3641e-01,2.1374e-01,-6.8260e-01,-1.0730e+00,1.4737e+00,B
4.1190e-01,1.2873e-01,5.9877e-01,6.5405e-01,-4.4857e-01,A
-6.7388e-01,-1.6920e-01,-9.4005e-01,-1.1216e+00,7.1541e-01,B
-5.9494e-02,2.9085e-02,-7.4478e-04,-1.9313e-02,1.7998e-01,A
-4.4938e-01,-1.8964e-01,-7.4413e-01,-7.8640e-01,3.4850e-01,B
1.0723e-01,3.9407e-02,1.8449e-01,2.0804e-01,-1.1131e-01,A
-6.8806e-01,-5.6307e-01,-1.3737e+00,-1.4191e+00,2.9668e-01,B
-5.0867e-01,-3.4791e-01,-9.0338e-01,-9.7734e-01,2.5823e-01,B
3.2812e-01,4.7533e-02,3.8024e-01,4.9943e-01,-4.6392e-01,A
-2.8275e-01,-5.3149e-01,-9.1355e-01,-8.3010e-01,-2.6869e-01,B
-1.5351e-01,2.0154e-01,6.8773e-02,-5.4130e-02,4.3295e-01,A
-3.7189e-01,-3.6475e-01,-8.3070e-01,-8.0203e-01,8.9445e-02,B
-8.6444e-01,-1.8347e-03,-9.2784e-01,-1.2424e+00,1.2653e+00,B
-2.5464e-01,-2.5669e-01,-5.7787e-01,-5.8446e-01,-2.9896e-02,A
-2.6395e-01,-5.6474e-01,-8.7162e-01,-7.5388e-01,-4.2760e-01,A
